Gareth Edwards	129894	24	
Erich Weiss	150434	2	
Destin Cretton	1144604	46	
Don Hall	227439	14	
Peter Chan	1448754	0	
David Mich�d	114334	32	
Gary Shore	1167470	2	
Sara Newens	1448550	7	
Charles Ferguson	74058	17	
Josh Trank	934803	3	
Mohamed Diab	130204	19	
Jean-Charles Hue	226076	5	
Banksy	131617	16	
Mike Cahill	45459	13	
Joseph Kosinski	86270	1	
Peter Joseph	74257	0	
Christian Desmares	1484009	4	
George Dorobantu	1025964	4	
Robert Enrico	583522	0	
Kanji Nakajima	129139	4	
Riad Sattouf	83793	9	
Damien Chazelle	136495	139	
Ana Lily Amirpour	1289604	24	
Eva Riley	1521123	7	
Keishi Ohtomo	1084905	2	
Kitty Green	1731915	17	
Ik-Joon Yang	108538	29	
Ryan Coogler	1056121	52	
Dan Kwan	1383612	22	
Aleksa Gajic	1051292	0	
Han-min Kim	1049134	9	
Ritesh Batra	1117026	39	
Thomas Cailley	1320870	16	
Kiah Roache-Turner	1361546	2	
Orlando von Einsiedel	1308004	31	
Ross Ashcroft	994314	2	
Hoon-jung Park	557736	7	
Julia Ducournau	1392433	19	
Bess Kargman	937925	9	
Belinda Sallin	1368165	1	
Orelsan	1265647	0	
Jimmy Chin	1403129	0	
Jeong Geun-Seop	1175686	2	
Ilya Naishuller	1169024	2	
David Sandberg	1462214	8	
Mona Bertheussen	1274992	4	
David Mackenzie	1351991	0	
Tian Xiao Peng	1490566	1	
