"458,944,304,587"	4586	"28,80"	314	4.2
"1,891,869,725,049"	11091	"28,12"	184315	5.6
"566,181,107,624,045"	15810	"12,16,10751,14,878"	9016	7.2
"580,166,286,223,659"	11887	"12,35,878"	18162	5.3
"976,16483,3"	143059	"28,12,53"	138103	6.1
"2,037,425,616,972,350"	21673	"28,80,53"	257088	5.5
"10,697,621,354,826"	64191	"14,35,10751,12"	10214	3.6
"239,996,203,774,568"	6159	"53,18,12,28,36"	205775	6.5
"18,117,765,916"	33485	"28,35,878"	11692	4.4
"2,039,189,217,141"	25598	"10752,28,12,18,53"	22972	6.4
"9,401,113,931,791,390,000"	71729	16	227973	6.5
"8,565,515,267,773"	1255	"80,18,9648,53"	29193	7.1
"18,269,329,310,727"	7775	"12,28,14"	1734	6
"1,185,669,416,193"	1032	"18,36,80"	3131	7.1
"103,124,610,068,643,000"	607	"18,36,10752"	76758	7.1
"10,959,116,641,229"	12905	"16,35,10751"	9408	5.9
"7,393,122,274,756"	7908	"28,35,878"	9890	5.4
"3,061,113,552,299"	578	"28,36,10752"	855	7.2
"325,972,365,958,225"	6737	35	77953	5.6
"64,65,62"	59	"12,14,28,53,878"	18	7.3
"5,203,802,438,025"	38023	"35,18,10749"	37786	5.4
"8,945,111,814,810"	27005	"12,16,35,10751"	10501	7
"5,723,157,575,713"	71729	"16,35,12,10751"	57800	6.2
"1,016,168,112,512,990"	11181	"10749,14,10751,18"	150689	6.7
"4,038,329,313,240"	108	"14,18"	7980	6.6
"12,14,13"	7	"1,610,751"	12	7.6
"1,101,091,327"	108	"12,14,28"	122	8.1
"1,091,101,327"	108	"12,14,28"	121	8
"2,513,012,291,231"	130938	"12,14"	68737	5.2
"117,011,012,720,508"	12786	"12,14,28,53"	1995	5.7
"15556,6162,85"	559	"53,878,18,9648"	157353	5.9
"493,939,054,783"	4945	"12,28,53,878"	331	5.7
"767,921,705,112,074"	77357	"53,28,18,878"	61791	7
