Gérard Guérin	1982
Noémie Lvovsky	2000,2012,2012
Kirill Mikhanovsky	2006
Rao Heidmets	1989
Rik Kuypers	1956
Børge Ring	1978,1978
Helmut Käutner	1954,1949,1954,1955,1954
Michael Haneke	2000,2017,2012,2009,2009,2009,2009,2005,2005,1997,2005,2005,2000,2001,2001
Raymond Red	2000
Sébastien Lifshitz	2016,2016,1998
Valeria Bruni Tedeschi	2013,2007,2007
Abbas Kiarostami	2010,2010,1994,1997,2002,2004,2012
Daniel Tinayre	1951
Ettore Scola	1970,1980,1980,1981,1982,1987,1977,1989,1976,1976
Ricardo Alves Jr	2011
Sean Penn	1997,2001,2016
Bruno Gebel	1958
Michèle Cournoyer	2004
Tim Robbins	1992,1999
Yulene Olaizola	2012
Clément Cogitore	2015,2015,2015,2015
Francesco Rosi	1997,1965,1972,1987
Juan Padrón	1986
Rúnar Rúnarsson	2011,2008,2011
Walt Disney	1953,1946,1954
Ena Sendijarević	2016
Noboru Nakamura	1952
John Hubley	1961,1967,1978,1978
Kyros Papavassiliou	2007
Matthias Luthardt	2006,2006
Ruy Guerra	1983,1989,2000
Hong Won-chan	2015
Andrei Konchalovsky	1986,1987,1994,1979,1979
Ziya Demirel	2015
Anthony Simmons	1977
Gilbert Prouteau	1953
José Leitão de Barros	1946
José Val del Omar	1961,1961
Manfredo Manfredi	1969
Martin Frič	1951,1955
Roy Andersson	2000,2007,2000
Désiré Ecaré	1985
Marion Hänsel	1995,1995
Rachid Djaïdani	2012,2012,2012
Clu Gulager	1970
Gérard Brach	1971
Laurent Cantet	2008,2017,2012
Louis-Do de Lencquesaing	2012,2012
Michael Schultz	1977,1977
Ritesh Batra	2013,2013,2013
Robert Mulligan	1963,1963,1974
Kim Rossi Stuart	2006,2006
Oldřich Lipský	1962
Prakash Arora	1955
Raj Kapoor	1953
Jerry Schatzberg	1989,1971,1973,1973,1976
Marco Tullio Giordana	2003,2005,2005,2008
Félix Moati	2016
Gian Gaspare Napolitano	1953,1953
José Luis Sáenz de Heredia	1957,1954
Nancy Buirski	2015
Nicholas Chin	2002
Sally Field	1979
Yann Gonzalez	2013,2017,2013
Salah Abouseif	1954,1949,1956
Ben Safdie	2017,2009
Marco Martins	2005,2005,2005
Juliano Ribeiro Salgado	2014,2014,2014,2014
Ken Russell	1974,1974,1987
John Weldon	1990
Hagar Ben-Asher	2007,2011,2011
Slavko Vorkapich	1956
Stanislav Barabáš	1961
Raymond Rouleau	1962,1962
Gheorghe Naghi	1960
Hitoshi Matsumoto	2007,2007
James Toback	2008,2008
Jia Zhangke	2008,2002,2010,2013,2013,2015,2015
Luis Buñuel	1960,1960,1961,1959,1962,1959,1953,1952,1951,1951
Ounie Lecomte	2009
Nicolas Wadimoff	2012
René Persin	1955
Orson Welles	1966,1952,1966,1959,1966
Paul Negoescu	2012
E. Elias Merhige	2000
Jean-Louis Trintignant	1969
Marina Diaby	2015
Miloš Makovec	1957
Belma Bas	2006
Dominique De Fazio	1983
Chen Kuo-Fu	2002
Nikos Papatakis	1963
Alexander Nanau	2016
Arnon Zadok	1996
Chloé Zhao	2015,2017
Auraeus Solito	2011,2011
John Paskievich	1982
Pablo Trapero	2012,2010,2008,2002
Daniele Luchetti	1991,2010,2007
Georges Schwizgebel	1987,1971,2004
Jean-Louis Roy	1967
Pitof	1994
Gilles Bourdos	2012
Jasmin Dizdar	1999
Shane Black	2005
Alejandro Landes	2011
Dover Koshashvili	1999
Kelly Asbury	2002,2004
Koji Shima	1956
Pierre-Henry Salfati	1983
Henning Carlsen	1975,1961,1966
Lav Diaz	2013
Pierre Jallaud	1985
David Pablos	2015
Murad Ben Cheikh	2011
Robert Duvall	1998
Chloé Robichaud	2012,2013,2013
Mathieu Vadepied	2015
Christine Jeffs	2001
Damien Odoul	2004
Marcel Camus	1959
Pen-Ek Ratanaruang	2009,2007
Frixos Iliadis	1952
Gilles Lellouche	2003
Adam Leon	2012,2012
Adolfo Alix Jr.	2013
Lewis Gilbert	1966,1966
Peter Tscherkassky	2015,2015
Greg Mottola	1996
Marc Caro	1995
Sameh Zoabi	2005
Ana Luiza Azevedo	2000
Cédric Babouche	2005
Gus Van Sant	2003,2005,2015,2011,2007,2003,2003,2007
Julio Bracho	1952
Patrick Vollrath	2015,2015
Tizza Covi	2009,2009
Agnès Varda	2010,2017,1962,1958,2015
Andrucha Waddington	2000
Jean-Pierre Sentier	1991
Kurt Hoffmann	1958
Seiji Hisamatsu	1955
Allen Hughes	1993
Bernard Émond	2003,2001
Jacques Séverac	1962
Lola Kirke	2015
Gilles Carle	1989,1980,1973,1972
Stefan Constantinescu	2012
Erik Skjoldbjærg	1997
Jean-Stéphane Bron	2010
Maria Guskova	2015
Rodney Ascher	2012,2012
Takis Kanellopoulos	1963
Arnaud des Pallières	2013
Thorold Dickinson	1949,1955
Bruce Beresford	1980,1983,1986,1987
Guillermo Arriaga	2005
Linus Tunström	2000
Adam Davidson	1990
Annarita Zambrano	2017,2017,2013
Louise-Marie Colon	2001
Lubomír Beneš	1981
Stefan Krohmer	2006
Abderrahmane Sissako	2014,2014,2014,2003,2002,2002
José María Gutiérrez Santos	1969
Lev Atamanov	1955
Stanley Tucci	1998
Alfred E. Green	1947
Jan Komasa	2004
Manuel Poirier	1997,1997
Marian Crișan	2008
René Laloux	1973,1973
Cédric Kahn	2001,1994
Matt Ross	2016,2016
