George Armitage	1996
John Pasquin	1993
John Pasquin	1992
John Pasquin	1989
Bharat Nalluri	2007
Charles Dance	2006
Robert Harmon	2004
Robert Harmon	1997
Mort Nathan	1989
Mort Nathan	1988
Mort Nathan	1987
Mort Nathan	1986
Tom Hanks	2017
Tom Hanks	2016
Tom Hanks	2015
Tom Hanks	2015
Tom Hanks	2014
Tom Hanks	2012
Tom Hanks	2010
Tom Hanks	2010
Tom Hanks	2009
Tom Hanks	2008
Tom Hanks	2002
Tom Hanks	2002
Tom Hanks	1998
Tom Hanks	1998
Annabel Jankel	1985
Gary Sinise	1998
Gary Sinise	1996
David Mirkin	2002
David Mirkin	2001
David Mirkin	1999
David Mirkin	1998
David Mirkin	1997
David Mirkin	1996
David Mirkin	1995
David Mirkin	1987
Andrei Konchalovsky	2004
Andrei Konchalovsky	1997
Vince Edwards	1962
Glen Morgan	1997
Glen Morgan	1995
Andy García	2001
Brad Turner	2006
Forest Whitaker	2010
Forest Whitaker	2007
Forest Whitaker	2003
Forest Whitaker	2012
Steve Miner	1989
Troy Miller	2016
Troy Miller	2015
Troy Miller	2014
Troy Miller	2011
Troy Miller	2009
Troy Miller	2006
Troy Miller	2004
Troy Miller	1991
Ben Garant	1999
Richard Loncraine	2003
Richard Loncraine	2002
Richard Loncraine	2002
Brian Robbins	1995
Brian Robbins	2016
Chris Rock	2016
Chris Rock	2009
Chris Rock	2009
Chris Rock	2004
Chris Rock	2001
Chris Rock	2000
Chris Rock	1999
Chris Rock	1999
Chris Rock	1998
Chris Rock	1997
Chris Rock	1997
Tony Krantz	2004
Tony Krantz	2003
Tony Krantz	2002
Tony Krantz	1999
Bob Odenkirk	2017
Bob Odenkirk	2016
Bob Odenkirk	2015
Bob Odenkirk	1999
Bob Odenkirk	1998
Bob Odenkirk	1993
Bob Odenkirk	1991
Bob Odenkirk	1990
Bob Odenkirk	1989
Jamie Babbit	2017
Alan Taylor	2012
Alan Taylor	2008
Alan Taylor	2007
John Shiban	1998
John Shiban	1997
Robert Mandel	1984
Gideon Raff	2016
Gideon Raff	2015
Gideon Raff	2013
Gideon Raff	2012
Susan Stroman	1993
John A. Davis	2000
